market_name,market_id,market_address,is_shutdown,deployment_deprecated,deployment_disabled,currency,window_start_inclusive_utc,window_end_inclusive_utc,first_volume_hour_utc,last_volume_hour_utc,volume_30d_ovl,avg_24h_bucket_volume_ovl,median_24h_bucket_volume_ovl,max_24h_bucket_volume_ovl,max_24h_bucket_start_utc,max_24h_bucket_end_utc,active_24h_buckets,active_hours,hour_rows,share_30d_volume_pct,current_total_volume_ovl,number_of_builds_lifetime,number_of_unwinds_lifetime,number_of_liquidates_lifetime,explorer_url
Defi Index,Defi%20Index,0xc9f27accc1971c9583dd7d3e9c240555095f98e3,false,false,true,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-06T11:00:00Z,2026-05-06T11:00:00Z,4.046798,0.134893,0.000000,4.046798,2026-05-05T13:00:00Z,2026-05-06T12:00:00Z,1,1,1,0.0000,18.093016,2,0,2,https://bscscan.com/address/0xc9f27accc1971c9583dd7d3e9c240555095f98e3
,,0x0c92b62a9ec0f9f00dfcefdf8acc9a52a52cc30a,true,,,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,0.000000,0,0,0,
,,0x6122e6318e85737e401060297c80b443af621717,true,,,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,0.000000,0,0,0,
,,0xb29dcc22db4017115c771e301ea9f1fc56c371be,true,,,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,0.000000,0,0,0,
AI Agents Index,AI%20Agents%20Index,0xfbefe7796b8fea946197e7ca5bffdd45270446f2,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,7524.642006,7,3,3,https://bscscan.com/address/0xfbefe7796b8fea946197e7ca5bffdd45270446f2
AI Index,AI%20Index,0xb9fb39bd8c24bd4e8edf339a33fb5cd2ed2dd9c8,false,true,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,271654.321555,166,159,11,https://bscscan.com/address/0xb9fb39bd8c24bd4e8edf339a33fb5cd2ed2dd9c8
Bad Bunny,Bad%20Bunny,0x28fe0c28b02d7f01b9b1b142cbf3c179ac9a61be,true,false,true,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,5.001066,2,2,0,https://bscscan.com/address/0x28fe0c28b02d7f01b9b1b142cbf3c179ac9a61be
Billie Eilish Index,Billie%20Eilish%20Index,0xdd0ff285568c459b4c30f6179e6baaa44bf1ada8,true,false,true,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,22.763166,2,2,0,https://bscscan.com/address/0xdd0ff285568c459b4c30f6179e6baaa44bf1ada8
Binance Alpha Index,Binance%20Alpha%20Index,0x799b52df5394b143c7786b1e6e4533ce1de5d817,false,true,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,441559.287974,245,228,22,https://bscscan.com/address/0x799b52df5394b143c7786b1e6e4533ce1de5d817
BNB / USD,BNB%20%2F%20USD,0x6bfde86c4c5aabb614addb51bdad1c4450bd2901,false,true,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,1690642.233764,625,602,27,https://bscscan.com/address/0x6bfde86c4c5aabb614addb51bdad1c4450bd2901
BNB / USD,BNB%20%2F%20USD,0xe2cd4672d085d2ab163e248ac9293a16accb7b67,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,5626007.079960,126,105,18,https://bscscan.com/address/0xe2cd4672d085d2ab163e248ac9293a16accb7b67
BTC Dominance,BTC%20Dominance,0x204b281d5f5a504043ae2d91f3cf79bbbc1f6e09,false,true,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,20331224.075307,5156,5134,19,https://bscscan.com/address/0x204b281d5f5a504043ae2d91f3cf79bbbc1f6e09
CZ Signals Clarity Index,CZ%20Signals%20Clarity%20Index,0x46b1ba8e2b321600038d2a632b7b5c269ded5a47,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,7151.840318,14,9,3,https://bscscan.com/address/0x46b1ba8e2b321600038d2a632b7b5c269ded5a47
